id,name,duration,album_id
40zJaB3z53PGaxIkYyieBP,Só de Sacanagem - Ao Vivo,183695,40T4QuY2o5FmisyJf3AlEf
35qOGx1CWvCkQFOv4BkVIV,Esquema Preferido - Ao Vivo,201973,2088VaDwnFtTCZI1Xr1kZZ
0YqTL3nSL36OFdHwHoqCag,MODO TURBO,150259,07PF9SyKuu6hstifHc0nEt
68cPbG7hJnwDW9nPX1uQcX,Saturno,186947,54lVKhg9g9xAzZjMU46ay7
7J3QMuDCSv56jRSiD9jFBF,Cidade Inteira,214285,2neGOdvdIFmfTaO6zjyCW8
0eoMMLrWtXbLk64baeESkc,Tudo Indica (feat. Jorge & Mateus) - Ao Vivo,183013,17k2RAZkXJwm7bmiGAr0FZ
7lJoRyuNJtuiqTcKtuMuIR,Maçã Verde,164307,2jsCve1xB2Gi5fag004Wsh
2QCwoYDn4DRfjs4NhW2KpO,Alô Ex-Amor - Ao Vivo,197952,44Jrx7i4yt50pvFHbhIRgu
5ra6CI0pEzqjxPEZeBz0d7,Amor e Fé - Acústico,322736,4wRvyoU54SubOhGWL2n9Rp
5NeBu4oKweDXIjhvYqtbLo,Hackearam-Me,209250,3KHR8xoze8HO6SGTCeCGQt
2ASs0n7ukfyxAxDtdir4vF,Privilégio,151384,46UPYnlqTunDKOjpogfIyb
52yvnBV90B2ZUC5b25cFer,Espetinho - Ao Vivo,171116,78YLa6QF2hX4A0QIX80QGy
3dPvQLKl42dMYWV4LWRTLK,Tá Rocheda,203075,59Q7HNcjiKQ0TFBvuzpbLP
6SA8c5JbUZF7HyAeDX4iiB,Preta do Cabelo Cacheado,161988,1ZDXuc6Mv84xAM2eEkJMPO
2Xgc216OMnc9PyUalpaSPc,Mtg - Vem Sentando Vem (feat. Dj Nbeat) - Remix,139546,4N6rRcnZCELIQGfHRmQ5ni
7snoDTJeoJ2oVMhf7eoF3t,De Menina pra Mulher - Ao Vivo,208383,78YLa6QF2hX4A0QIX80QGy
7qmnP8Woc47dLSrMD5MxL1,Amor ou o Litrão,173913,0qNwJrFHuC0nQt9J4UwEqn
4zsiMjB0794HztyqUkD3Zi,Sogra - Ao Vivo,177067,69BEwRfwBeIpoene374tX2
589KeND3ebjbfhs5GfGGyx,Грешна си,216784,5bk31in3QWRWCg4NPMaNtj
6Fz0IEZ0qHeu3cEbRDqSnU,Изкушение,224000,2eMxdsV5UGrIDcaQKTUrLN
6W2jsJG6MPPJ6xTWcNEeHr,Грешници,248000,5dcFrXa9bC6CKElQiQo777
2MUIxQQ7YVvefJ17ZVFSId,"Boi, boi",233846,60m4aHFtoGtOTL3HeeYZgR
2IxTTLlkB2hSUDn138o8uq,Chukove,212000,5jaifFEhQ8ECq0kotheTHc
79s5XnCN4TJKTVMSmOx8Ep,Dior,216386,6d1vGZsr6Uy3h9IigBpPAf
5w49x5l1LNLhnSCAp7KnYg,Pie mi se II,141271,4RydW0Pb8KJS8iyN7DwTIc
0PvFJmanyNQMseIFrU708S,For The Night (feat. Lil Baby & DaBaby),190476,7e7t0MCrNDcJZsPwUKjmOc
3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,175720,2uDTi1PlpSpvAv7IRAoAEU
4a0oV0MjoURyHnW1gz8qcg,Да си тук,217333,5yuDbOYBfw7DfzyvkkzFIM
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,240400,4xkM0BwLM9H2IUcbYzpcBI
2etHQJxIbV0soyPhelVs9Y,Best Friend (feat. Doja Cat),155883,28Yv9BE6ZI6dccK0sxbEq4
01v1AOXoUjXVpd6rNiVkSN,Napravo v kosha,205116,25C7BZpOoyHB4S7r7PEfPE
6gBFPUFcJLzWGx4lenP6h2,goosebumps,243836,42WVQWuf1teDysXiOupIZt
2Oycxb8QbPkpHTo8ZrmG0B,Prisoner (feat. Dua Lipa),169333,5BRhg6NSEZOj0BR6Iz56fR
17vGPZ5EsdvtgAOCD4FLWI,AP - Music from the film Boogie,171891,2xAPKH0b7vGsyD5xzkPpnI
6QhSFWJE6xSquYT5ZJ6AWc,Obicham te,232000,2wRP8onUtYeh6AM7y2DZgs
1AE3geuJdEBiitm81QuuOi,Недей ме вини,234000,0umgUWREzW3CjM8vJtxVpR
1bwLTopYsL8A0j0fg7fi79,"Не, мерси - Single",205347,6ZQnhMqGKxVllFBsTUprzz
0nbXyq5TXYPCO7pr3N8S4I,The Box,196652,52u4anZbHd6UInnmHRFzba
2r6OAV3WsYtXuXjvJ1lIDi,Hello (feat. A Boogie Wit da Hoodie),190534,2MDU46hcBn3u94s46BOSdv
65OVbaJR5O1RmwOQx0875b,Wants and Needs (feat. Lil Baby),192956,5LuoozUhs2pl3glZeAJl89
6cQ08IpBxxfGcSKxqE3NmB,Headshot (feat. Polo G & Fivio Foreign),144349,74nxdn9ypqp3hqJEttpDNU
2tB9OFgAHjAds3cqquLlvp,Loved By You,159250,5dGWwsZ9iB2Xc3UKR0gif2
3buwFfY33H32wfZ6X9poV3,Somebody,179414,5dGWwsZ9iB2Xc3UKR0gif2
6fRxMU4LWwyaSSowV441IU,Beautiful Mistakes (feat. Megan Thee Stallion),227395,4jGaPN2gEpKciN02ZKRShT
4FRW5Nza1Ym91BGV4nFWXI,Lemon Pepper Freestyle (feat. Rick Ross),383036,5LuoozUhs2pl3glZeAJl89
